"Ranking","Name","Result_m","Announced","Points","Penalties","Date","Place","Country"
3193,"Anna VON BOETTICHER ",0,0,0,0,2008-07-25,"Mediterranean Freediving Meeting","Germany"
3194,"Anna VON BOETTICHER ",0,58,0,0,2010-04-29,"Bizzy Blue Hole 2010","Germany"
3195,"Anna VON BOETTICHER ",0,58,0,0,2010-06-14,"3rd Mediterranean Freediving Meeting","Germany"
3196,"Ben GUYAT ",0,0,0,0,2008-06-10,"Triple Depth 2008","United Kingdom"
3197,"Andrea ZUCCARI ",0,0,0,0,2008-08-01,"Dahab Mini Comp 2008","Switzerland"
3198,"Erland BREIDAL ",0,0,0,0,2008-04-18,"Bizzy blue hole 2008","Norway"
3199,"Yuki MUTO ",0,0,0,0,2008-08-10,"Deepwater Okinawa Cup 2008","Japan"
3200,"Yuki MUTO ",0,0,0,0,2008-10-12,"10th Manazuru Freediving Classic","Japan"
3201,"David TRANFIELD ",0,0,0,0,2008-04-18,"Bizzy blue hole 2008","United Kingdom"
3202,"Yasushi OKAWA ",0,0,0,0,2008-11-02,"Big Blue 4th Official Competition","Japan"
3203,"Ken NAKAMURA ",0,0,0,0,2008-11-02,"Big Blue 4th Official Competition","Japan"
3204,"Ruth GRIFFIN ",0,-1,0,0,2008-03-09,"Apnea@Altitude 08","United Kingdom"
3205,"Mads Becker JÃ˜RGENSEN ",0,-1,0,0,2008-05-03,"Hemmoor sub-max 2008","Denmark"
3206,"Mads Becker JÃ˜RGENSEN ",0,0,0,0,2008-04-18,"Bizzy blue hole 2008","Denmark"
3207,"Josephine JÃ˜RGENSEN ",0,-1,0,0,2008-05-03,"Hemmoor sub-max 2008","Denmark"
3208,"Cristina KÜMMEL ",0,-1,0,0,2008-05-03,"Hemmoor sub-max 2008","Denmark"
3209,"Cristina KÜMMEL ",0,0,0,0,2008-04-18,"Bizzy blue hole 2008","Denmark"
3210,"Jacob HANSEN ",0,0,0,0,2008-04-18,"Bizzy blue hole 2008","Denmark"
3211,"David CIZEK ",0,0,0,0,2008-04-18,"Bizzy blue hole 2008","Czech Republic"
3212,"Radek VEVERKA ",0,65,0,0,2010-04-29,"Bizzy Blue Hole 2010","Czech Republic"
3213,"Jahaziel BECERRA ",0,0,0,0,2008-06-20,"AIDA Mexico Xibalba 2008","Mexico"
3214,"Eduardo LOPEZ NEGRETE ",0,0,0,0,2008-06-20,"AIDA Mexico Xibalba 2008","Mexico"
3215,"Jared SCHMELZER ",0,0,0,0,2008-06-20,"AIDA Mexico Xibalba 2008","United States"
3216,"Brett SCAGLIONE ",0,0,0,0,2008-06-20,"AIDA Mexico Xibalba 2008","United States"
3217,"Jose Juan JIMENEZ ",0,0,0,0,2008-06-20,"AIDA Mexico Xibalba 2008","Mexico"
3218,"Fidel LADRON ",0,0,0,0,2008-06-20,"AIDA Mexico Xibalba 2008","Mexico"
3219,"Henry IBANEZ ",0,0,0,0,2008-06-20,"AIDA Mexico Xibalba 2008","Mexico"
3220,"Antonio RICALDE ",0,0,0,0,2008-06-20,"AIDA Mexico Xibalba 2008","Mexico"
3221,"Inocencio ROMERO ",0,0,0,0,2008-06-20,"AIDA Mexico Xibalba 2008","Mexico"
3222,"Jose Antonio PEREZ ",0,0,0,0,2008-06-20,"AIDA Mexico Xibalba 2008","Mexico"
3223,"Aharon SOLOMONS ",0,0,0,0,2008-06-20,"AIDA Mexico Xibalba 2008","United States"
3224,"Rodrigo FRISCIONE ",0,0,0,0,2008-06-20,"AIDA Mexico Xibalba 2008","Mexico"
3225,"Carlos LAZOS ",0,0,0,0,2008-06-20,"AIDA Mexico Xibalba 2008","Mexico"
3226,"Antonio LOPEZ ",0,0,0,0,2008-06-20,"AIDA Mexico Xibalba 2008","Mexico"
3227,"Maria Teresa SOLOMONS ",0,0,0,0,2008-06-20,"AIDA Mexico Xibalba 2008","United Kingdom"
3228,"Anahi ESPINOSA ",0,0,0,0,2008-06-20,"AIDA Mexico Xibalba 2008","Mexico"
