"Ranking","Name","Result_m","Announced","Points","Penalties","Date","Place","Country"
1,"William TRUBRIDGE ",124,124,124,0,2016-04-22,"Vertical Blue 2016","New Zealand"
2,"William TRUBRIDGE ",123,123,122,1,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
3,"William TRUBRIDGE ",123,123,122,1,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
4,"William TRUBRIDGE ",123,123,122,1,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
5,"Miguel LOZANO ",122,122,122,0,2016-05-26,"Caribbean Cup 2016","Spain"
6,"William TRUBRIDGE ",122,122,122,0,2016-04-22,"Vertical Blue 2016","New Zealand"
7,"Miguel LOZANO ",122,122,122,0,2016-05-26,"Caribbean Cup 2016","Spain"
8,"Miguel LOZANO ",122,122,122,0,2016-05-26,"Caribbean Cup 2016","Spain"
9,"William TRUBRIDGE ",121,121,121,0,2011-04-17,"Vertical Blue 2011","New Zealand"
10,"Herbert NITSCH ",120,120,120,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","Austria"
11,"William TRUBRIDGE ",120,120,120,0,2014-11-27,"Suunto Vertical Blue","New Zealand"
12,"William TRUBRIDGE ",119,119,119,0,2016-04-22,"Vertical Blue 2016","New Zealand"
13,"Miguel LOZANO ",118,118,118,0,2016-05-26,"Caribbean Cup 2016","Spain"
14,"Miguel LOZANO ",118,118,118,0,2016-05-26,"Caribbean Cup 2016","Spain"
15,"Miguel LOZANO ",118,118,118,0,2016-05-26,"Caribbean Cup 2016","Spain"
16,"William TRUBRIDGE ",117,117,117,0,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
17,"William TRUBRIDGE ",117,117,117,0,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
18,"William TRUBRIDGE ",117,117,117,0,2012-11-20,"Suunto Vertical Blue 2012","New Zealand"
19,"Miguel LOZANO ",117,117,117,0,2012-11-20,"Suunto Vertical Blue 2012","Spain"
20,"Miguel LOZANO ",117,117,117,0,2012-11-20,"Suunto Vertical Blue 2012","Spain"
21,"Miguel LOZANO ",117,117,117,0,2012-11-20,"Suunto Vertical Blue 2012","Spain"
22,"William TRUBRIDGE ",116,116,116,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","New Zealand"
23,"William TRUBRIDGE ",116,116,116,0,2016-04-22,"Vertical Blue 2016","New Zealand"
24,"William TRUBRIDGE ",115,115,115,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","New Zealand"
25,"William TRUBRIDGE ",115,115,115,0,2015-04-27,"Suunto Vertical Blue 2015","New Zealand"
26,"Herbert NITSCH ",114,114,114,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","Austria"
27,"Alexey MOLCHANOV ",114,114,114,0,2014-11-27,"Suunto Vertical Blue","Russian Federation"
28,"Mateusz Malina ",114,118,109,5,2014-11-27,"Suunto Vertical Blue","Poland"
29,"Miguel LOZANO ",113,113,113,0,2016-05-26,"Caribbean Cup 2016","Spain"
30,"Walid BOUDHIAF ",113,113,113,0,2016-06-04,"Nirvana Oceanquest Competition","Tunisia"
31,"Walid BOUDHIAF ",113,117,108,0,2016-06-04,"Nirvana Oceanquest Competition","Tunisia"
32,"Miguel LOZANO ",113,113,113,0,2012-11-20,"Suunto Vertical Blue 2012","Spain"
33,"Miguel LOZANO ",113,113,113,0,2012-11-20,"Suunto Vertical Blue 2012","Spain"
34,"Miguel LOZANO ",113,113,113,0,2012-11-20,"Suunto Vertical Blue 2012","Spain"
35,"Mateusz Malina ",113,113,113,0,2014-11-27,"Suunto Vertical Blue","Poland"
36,"Herbert NITSCH ",112,112,112,0,2009-12-06,"WR Attempt - NITSCH Herbert(CWT, FIM, VWT, CNF)","Austria"
37,"Alexey MOLCHANOV ",112,112,112,0,2013-11-09,"Vertical Blue 2013","Russian Federation"
38,"Alexey MOLCHANOV ",112,112,112,0,2014-05-25,"Caribbean Cup 2014","Russian Federation"
39,"William TRUBRIDGE ",112,112,111,1,2011-09-15,"AIDA Individual Depth World Championship 2011","New Zealand"
40,"William TRUBRIDGE ",112,112,112,0,2015-05-23,"Caribbean Cup 2015","New Zealand"
41,"William TRUBRIDGE ",112,113,110,2,2015-09-11,"2015 AIDA Depth World Championships","New Zealand"
42,"William TRUBRIDGE ",111,111,111,0,2013-05-20,"Caribbean Cup 2013","New Zealand"
43,"William TRUBRIDGE ",111,111,111,0,2014-05-25,"Caribbean Cup 2014","New Zealand"
44,"Alexey MOLCHANOV ",110,110,110,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Russian Federation"
45,"Herbert NITSCH ",109,109,109,0,2009-04-03,"Vertical Blue 2009","Austria"
46,"William TRUBRIDGE ",108,108,108,0,2008-04-01,"Vertical Blue 2008","New Zealand"
47,"Miguel LOZANO ",108,108,108,0,2012-11-20,"Suunto Vertical Blue 2012","Spain"
48,"Miguel LOZANO ",108,108,108,0,2012-11-20,"Suunto Vertical Blue 2012","Spain"
49,"Miguel LOZANO ",108,108,108,0,2012-11-20,"Suunto Vertical Blue 2012","Spain"
50,"Alexey MOLCHANOV ",107,107,107,0,2012-11-20,"Suunto Vertical Blue 2012","Russian Federation"
51,"Alexey MOLCHANOV ",107,107,107,0,2012-11-20,"Suunto Vertical Blue 2012","Russian Federation"
52,"Alexey MOLCHANOV ",107,107,107,0,2012-11-20,"Suunto Vertical Blue 2012","Russian Federation"
53,"Alexey MOLCHANOV ",107,110,103,4,2015-11-01,"Big Blue","Russian Federation"
54,"William TRUBRIDGE ",107,0,0,0,2008-04-01,"Vertical Blue 2008","New Zealand"
55,"Miguel LOZANO ",107,107,107,0,2015-09-11,"2015 AIDA Depth World Championships","Spain"
56,"Martin STEPANEK ",106,0,0,0,2006-04-01,"WR Attempt - STEPANEK Martin(CNF - CWT -FIM)","Czech Republic"
57,"Mateusz Malina ",106,106,106,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Poland"
58,"Antonijo KODERMAN ",105,105,105,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Slovenia"
59,"Ryuzo SHINOMIYA ",104,104,104,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","Japan"
60,"Walid BOUDHIAF ",103,103,103,0,2016-06-04,"Nirvana Oceanquest Competition","Tunisia"
61,"Guillaume NÉRY ",103,103,103,0,2011-09-15,"AIDA Individual Depth World Championship 2011","France"
62,"Mateusz Malina ",103,103,103,0,2015-09-11,"2015 AIDA Depth World Championships","Poland"
63,"Mateusz Malina ",103,118,87,16,2014-11-27,"Suunto Vertical Blue","Poland"
64,"Herbert NITSCH ",102,114,89,13,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","Austria"
65,"Martin STEPANEK ",102,0,0,0,2004-03-23,"WR Attempt - STEPANEK Martin (FIM)","Czech Republic"
66,"Ryuzo SHINOMIYA ",102,102,102,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","Japan"
67,"William TRUBRIDGE ",102,115,88,14,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","New Zealand"
68,"William TRUBRIDGE ",102,102,102,0,2015-06-06,"NIRVANA OCEANQUEST","New Zealand"
69,"Walid BOUDHIAF ",102,102,102,0,2014-05-25,"Caribbean Cup 2014","Tunisia"
70,"Carlos COSTE ",101,101,0,0,2003-09-30,"WR Attempt - Carlos COSTE and Stig SEVERINSEN (FIM CWT)","Venezuela"
71,"Ryuzo SHINOMIYA ",101,101,101,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","Japan"
72,"Ryuzo SHINOMIYA ",101,115,86,15,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","Japan"
73,"Jonathan  Sunnex ",101,101,101,0,2013-11-09,"Vertical Blue 2013","New Zealand"
74,"Stig PRYDS ",100,100,100,0,2016-04-22,"Vertical Blue 2016","Denmark"
75,"Herbert NITSCH ",100,0,0,0,2003-09-05,"WR Attempt - NITSCH Herbert (CWT,CNF, FIM)","Austria"
76,"Alexey MOLCHANOV ",100,100,100,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Russian Federation"
77,"Martin ZAJAC ",100,100,100,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Slovakia"
78,"Miguel LOZANO ",100,100,100,0,2013-10-30,"One Breath Jamboree","Spain"
79,"Walid BOUDHIAF ",100,100,100,0,2015-06-06,"NIRVANA OCEANQUEST","Tunisia"
80,"Mateusz Malina ",100,100,100,0,2010-09-26,"Triple Depth 2010","Poland"
81,"Ryuzo SHINOMIYA ",99,102,95,4,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","Japan"
82,"Mateusz Malina ",99,107,90,9,2012-08-20,"AIDA Red Sea World Cup","Poland"
83,"William TRUBRIDGE ",98,98,98,0,2016-05-26,"Caribbean Cup 2016","New Zealand"
84,"Goran COLAK ",98,98,98,0,2015-09-11,"2015 AIDA Depth World Championships","Croatia"
85,"Stig PRYDS ",98,98,98,0,2016-04-22,"Vertical Blue 2016","Denmark"
86,"Ryuzo SHINOMIYA ",98,98,98,0,2016-04-22,"Vertical Blue 2016","Japan"
87,"William TRUBRIDGE ",98,98,98,0,2016-05-26,"Caribbean Cup 2016","New Zealand"
88,"William TRUBRIDGE ",98,98,98,0,2016-05-26,"Caribbean Cup 2016","New Zealand"
89,"Alejandro  Lemus ",98,98,98,0,2015-05-23,"Caribbean Cup 2015","Mexico"
90,"Carlos COSTE ",97,103,90,7,2014-05-25,"Caribbean Cup 2014","Venezuela"
91,"Ryuzo SHINOMIYA ",97,113,80,17,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","Japan"
92,"Jesper STECHMANN ",97,97,97,0,2015-09-11,"2015 AIDA Depth World Championships","Denmark"
93,"William WINRAM ",97,97,97,0,2010-06-14,"3rd Mediterranean Freediving Meeting","Canada"
94,"Michael BOARD ",97,97,97,0,2015-09-05,"2015 AIDA Depth World Championships Pre competition","United Kingdom"
95,"Guillaume NÉRY ",96,97,94,2,2010-06-14,"3rd Mediterranean Freediving Meeting","France"
96,"William WINRAM ",96,96,96,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","Canada"
97,"Michael BOARD ",96,96,96,0,2013-11-09,"Vertical Blue 2013","United Kingdom"
98,"Ryuzo SHINOMIYA ",96,96,96,0,2016-04-22,"Vertical Blue 2016","Japan"
99,"Dean Chaouche ",96,96,96,0,2016-04-22,"Vertical Blue 2016","United Kingdom"
100,"Thibault GUIGNES ",95,95,95,0,2016-11-13,"Australian Depth National Freediving Championship 2016","France"
101,"Michael BOARD ",95,95,95,0,2014-11-27,"Suunto Vertical Blue","United Kingdom"
102,"Homar LEUCI ",95,95,95,0,2016-04-22,"Vertical Blue 2016","Italy"
103,"Alejandro  Lemus ",95,95,95,0,2015-05-23,"Caribbean Cup 2015","Mexico"
104,"Jonathan  Sunnex ",95,95,95,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","New Zealand"
105,"Kurt Chambers ",94,94,94,0,2016-05-26,"Caribbean Cup 2016","United States"
106,"Stig PRYDS ",94,94,94,0,2015-09-11,"2015 AIDA Depth World Championships","Denmark"
107,"Ryuzo SHINOMIYA ",94,100,93,1,2016-04-22,"Vertical Blue 2016","Japan"
108,"Kurt Chambers ",94,94,94,0,2016-05-26,"Caribbean Cup 2016","United States"
109,"Davide CARRERA ",93,93,93,0,2013-11-09,"Vertical Blue 2013","Italy"
110,"Carlos COSTE ",93,0,0,0,2002-12-06,"WR Attempt - COSTE Carlos (FIM)","Venezuela"
111,"Christian MALDAMÉ ",93,93,93,0,2011-09-15,"AIDA Individual Depth World Championship 2011","France"
112,"Annelie POMPE ",93,93,93,0,2015-04-27,"Suunto Vertical Blue 2015","Sweden"
113,"Kurt Chambers ",93,93,93,0,2015-11-01,"Big Blue","United States"
114,"Alejandro  Lemus ",93,93,93,0,2015-04-27,"Suunto Vertical Blue 2015","Mexico"
115,"Jeanine GRASMEIJER ",92,92,92,0,2016-09-04,"BONAIRE DEEPSEA CHALLENGE","Netherlands"
116,"Stefan RANDIG ",92,92,92,92,2016-07-24,"Freedive Panglao July Minicompetition","Germany"
117,"Herbert NITSCH ",92,0,0,0,2002-07-27,"WR Attempt - NITSCH Herbert (FIM)","Austria"
118,"Carlos COSTE ",92,92,92,0,2008-07-25,"Mediterranean Freediving Meeting","Venezuela"
119,"Jesper STECHMANN ",92,92,92,0,2015-09-05,"2015 AIDA Depth World Championships Pre competition","Denmark"
120,"William WINRAM ",92,101,82,10,2010-06-14,"3rd Mediterranean Freediving Meeting","Canada"
121,"Veljano ZANKI ",92,92,92,0,2013-11-09,"Vertical Blue 2013","Croatia"
122,"Giorgos PANAGIOTAKIS ",92,92,92,0,2013-09-09,"2013 Kalamata Open","Greece"
123,"Remy DUBERN ",92,92,92,0,2015-09-11,"2015 AIDA Depth World Championships","France"
124,"Mateusz Malina ",92,105,78,14,2015-09-05,"2015 AIDA Depth World Championships Pre competition","Poland"
125,"Dean Chaouche ",92,92,92,0,2016-04-22,"Vertical Blue 2016","United Kingdom"
126,"Sebastian LIRA ",91,98,83,7,2016-05-26,"Caribbean Cup 2016","Chile"
127,"Timothy Oehmigen ",91,91,91,0,2016-06-21,"Freedive Panglao June Minicompetition","Germany"
128,"Ryuzo SHINOMIYA ",91,91,91,0,2015-04-27,"Suunto Vertical Blue 2015","Japan"
129,"Natalia MOLCHANOVA ",91,91,91,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Russian Federation"
130,"Dimitris CHATZIASLAN ",91,91,91,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Greece"
131,"Alexandr BUBENCHIKOV ",91,91,91,0,2015-09-11,"2015 AIDA Depth World Championships","Ukraine"
132,"Michael BOARD ",91,91,91,0,2013-11-09,"Vertical Blue 2013","United Kingdom"
133,"Stig PRYDS ",91,91,91,0,2014-08-25,"2014 AIDA EuroCup","Denmark"
134,"Adam STERN ",91,91,0,0,2016-04-22,"Vertical Blue 2016","Australia"
135,"Kurt Chambers ",91,91,91,0,2015-05-23,"Caribbean Cup 2015","United States"
136,"Alejandro  Lemus ",91,91,90,1,2015-04-27,"Suunto Vertical Blue 2015","Mexico"
137,"Adam STERN ",90,90,90,0,2016-11-02,"Blue Element 2016","Australia"
138,"Jin WANG ",90,90,90,0,2016-09-22,"Freedive Panglao September Minicomp","China"
139,"Thibault GUIGNES ",90,90,90,0,2016-04-30,"Freedive Panglao Depth Challenge","France"
140,"Herbert NITSCH ",90,90,90,0,2007-10-21,"Triple Depth","Austria"
141,"Martin STEPANEK ",90,0,0,0,2001-09-08,"WR Attempt - STEPANEK Martin (FIM)","Czech Republic"
142,"Jesper STECHMANN ",90,90,90,0,2013-09-15,"AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","Denmark"
143,"Guillaume NÉRY ",90,90,90,0,2015-06-20,"Nice Abyss Contest 2015","France"
144,"Natalia MOLCHANOVA ",90,90,90,0,2009-09-25,"Ruler of the Deep","Russian Federation"
145,"Alexey MOLCHANOV ",90,90,90,0,2008-08-01,"Dahab Mini Comp 2008","Russian Federation"
146,"Alexey MOLCHANOV ",90,90,90,0,2009-09-06,"Triple Depth 2009","Russian Federation"
147,"William WINRAM ",90,90,90,0,2009-04-03,"Vertical Blue 2009","Canada"
148,"Elisabeth Sveen KRISTOFFERSEN ",90,30,0,0,2009-03-07,"Oslo ICE Challenge","Norway"
149,"Robert KING ",90,90,90,0,2015-04-27,"Suunto Vertical Blue 2015","United States"
150,"Goran COLAK ",90,90,90,0,2010-04-29,"Bizzy Blue Hole 2010","Croatia"
151,"William TRUBRIDGE ",90,90,90,0,2007-10-21,"Triple Depth","New Zealand"
152,"Miguel LOZANO ",90,90,90,0,2011-06-23,"Triple Depth 2011","Spain"
153,"Michael BOARD ",90,90,89,1,2015-06-10,"8th Mediterranean World Cup","United Kingdom"
154,"Guillaume BUSSIERE ",90,90,90,0,2015-11-05,"RedCcup","France"
155,"Jeanine GRASMEIJER ",90,90,90,0,2013-09-09,"2013 Kalamata Open","Netherlands"
156,"Mateusz Malina ",90,90,90,0,2013-08-14,"Crystal Clear Water Competition","Poland"
157,"Jonathan  Sunnex ",90,90,90,0,2012-10-20,"TRIPLE DEPTH 2012","New Zealand"
158,"Carlos COSTE ",89,103,74,15,2014-11-27,"Suunto Vertical Blue","Venezuela"
159,"William WINRAM ",89,92,85,4,2009-04-03,"Vertical Blue 2009","Canada"
160,"Timothy Oehmigen ",88,88,88,0,2016-06-21,"Freedive Panglao June Minicompetition","Germany"
161,"Davide CARRERA ",88,88,88,0,2015-11-01,"Big Blue","Italy"
162,"Carlos COSTE ",88,90,85,3,2013-05-20,"Caribbean Cup 2013","Venezuela"
163,"Carlos COSTE ",88,105,70,18,2014-05-25,"Caribbean Cup 2014","Venezuela"
164,"Jesper STECHMANN ",88,88,88,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Denmark"
165,"Sebastian NÄSLUND ",88,88,88,0,2012-10-20,"TRIPLE DEPTH 2012","Sweden"
166,"Natalia MOLCHANOVA ",88,88,88,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Russian Federation"
167,"Robert KING ",88,88,88,0,2014-11-27,"Suunto Vertical Blue","United States"
168,"Remy DUBERN ",88,88,88,0,2013-09-09,"2013 Kalamata Open","France"
169,"Adam STERN ",88,88,88,0,2016-04-22,"Vertical Blue 2016","Australia"
170,"Alejandro  Lemus ",88,88,88,0,2015-04-27,"Suunto Vertical Blue 2015","Mexico"
171,"Thibault GUIGNES ",87,100,73,0,2016-07-24,"Freedive Panglao July Minicompetition","France"
172,"Antony JUDGE ",87,87,87,0,2015-08-27,"Australian Depth National Championship","Australia"
173,"Johan THELAUS ",87,87,87,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Sweden"
174,"Antero JOKI ",87,87,87,0,2013-11-09,"Vertical Blue 2013","Finland"
175,"Robert KING ",87,87,87,0,2012-11-20,"Suunto Vertical Blue 2012","United States"
176,"Robert KING ",87,87,87,0,2012-11-20,"Suunto Vertical Blue 2012","United States"
177,"Robert KING ",87,87,87,0,2012-11-20,"Suunto Vertical Blue 2012","United States"
178,"Robert KING ",87,87,87,0,2015-04-27,"Suunto Vertical Blue 2015","United States"
179,"Ryuzo SHINOMIYA ",87,99,86,1,2016-04-22,"Vertical Blue 2016","Japan"
180,"Dean Chaouche ",87,87,87,0,2016-04-22,"Vertical Blue 2016","United Kingdom"
181,"Sofia Gomez Uribe ",86,86,86,0,2016-11-02,"Blue Element 2016","Colombia"
182,"Mindaugas KREIVENAS ",86,86,86,0,2015-08-27,"RedCcup","International"
183,"Miguel LOZANO ",86,85,85,0,2016-04-30,"FREEDIVING ATLANTIC CUP","Spain"
184,"Alejandro  Lemus ",86,86,86,0,2016-05-26,"Caribbean Cup 2016","Mexico"
185,"Manolis GIANKOS ",86,86,86,0,2009-09-13,"AIDA Hellas Freediving Championship 2009","Greece"
186,"William WINRAM ",86,100,71,15,2009-06-22,"2nd Mediterranean Freediving Meeting","Canada"
187,"Jure DAIC ",86,86,86,0,2010-06-14,"3rd Mediterranean Freediving Meeting","Slovenia"
188,"Robert KING ",86,86,86,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","United States"
189,"Adam STERN ",86,86,86,0,2015-06-06,"NIRVANA OCEANQUEST","Australia"
190,"Alejandro  Lemus ",86,86,86,0,2014-11-27,"Suunto Vertical Blue","Mexico"
191,"Alejandro  Lemus ",86,86,86,0,2016-05-26,"Caribbean Cup 2016","Mexico"
192,"Alejandro  Lemus ",86,86,86,0,2016-05-26,"Caribbean Cup 2016","Mexico"
193,"Alejandro  Lemus ",86,86,86,0,2016-05-26,"Caribbean Cup 2016","Mexico"
194,"Jin WANG ",85,85,85,0,2016-04-30,"Freedive Panglao Depth Challenge","China"
195,"David MULLINS ",85,85,84,1,2016-03-18,"Fluid Freediving New Zealand Depth Nations 2016","New Zealand"
196,"Manolis GIANKOS ",85,85,85,0,2008-07-25,"Mediterranean Freediving Meeting","Greece"
197,"Ryuzo SHINOMIYA ",85,85,85,0,2013-05-20,"Caribbean Cup 2013","Japan"
198,"Jesper STECHMANN ",85,85,85,0,2013-08-07,"Nordic Championship 2013","Denmark"
199,"Natalia MOLCHANOVA ",85,85,85,0,2008-07-25,"Mediterranean Freediving Meeting","Russian Federation"
200,"William WINRAM ",85,85,85,0,2009-04-03,"Vertical Blue 2009","Canada"
201,"William WINRAM ",85,93,76,9,2009-04-03,"Vertical Blue 2009","Canada"
202,"William WINRAM ",85,85,85,0,2011-04-15,"Sweet and Salty","Canada"
203,"William WINRAM ",85,85,85,0,2015-05-25,"FreedivingWorld Competition","Canada"
204,"Jure DAIC ",85,85,85,0,2009-11-24,"Deans Blue Hole Rehearsal","Slovenia"
205,"Jure DAIC ",85,85,85,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Slovenia"
206,"Robert KING ",85,85,85,0,2014-11-27,"Suunto Vertical Blue","United States"
207,"Samo JERANKO ",85,85,85,0,2014-11-27,"Suunto Vertical Blue","Slovenia"
208,"Michael BOARD ",85,85,85,0,2014-08-25,"2014 AIDA EuroCup","United Kingdom"
209,"Michael BOARD ",85,85,85,0,2015-06-10,"8th Mediterranean World Cup","United Kingdom"
210,"Jeanine GRASMEIJER ",85,85,85,0,2013-08-24,"Little Blue Hole Competition","Netherlands"
211,"Stig PRYDS ",85,85,85,0,2014-08-27,"2014 Danish hampionships","Denmark"
212,"Adam STERN ",85,85,85,0,2015-04-27,"Suunto Vertical Blue 2015","Australia"
213,"Thibault GUIGNES ",85,85,85,0,2015-08-27,"Australian Depth National Championship","France"
214,"Walid BOUDHIAF ",85,85,85,0,2013-05-20,"Caribbean Cup 2013","Tunisia"
215,"Alejandro  Lemus ",85,85,85,0,2015-05-23,"Caribbean Cup 2015","Mexico"
216,"Alejandro  Lemus ",85,85,85,0,2014-05-25,"Caribbean Cup 2014","Mexico"
217,"Ashley CHAPMAN ",84,84,84,0,2016-09-04,"BONAIRE DEEPSEA CHALLENGE","United States"
218,"Alejandro W. ANDRES ",84,84,84,0,2016-05-26,"Caribbean Cup 2016","Argentina"
219,"Davide CARRERA ",84,84,84,0,2009-04-03,"Vertical Blue 2009","Italy"
220,"Eric FATTAH ",84,84,84,0,2011-04-17,"Vertical Blue 2011","Canada"
221,"Antony JUDGE ",84,84,84,0,2014-06-07,"Freedive Paradise 2014","Australia"
222,"Robert KING ",84,84,84,0,2015-04-27,"Suunto Vertical Blue 2015","United States"
223,"Shiv MADHU ",84,84,84,0,2015-04-27,"Suunto Vertical Blue 2015","International"
224,"Kurt Chambers ",84,91,76,8,2015-05-23,"Caribbean Cup 2015","United States"
225,"Alejandro  Lemus ",84,84,83,1,2014-05-25,"Caribbean Cup 2014","Mexico"
226,"Jonathan  Sunnex ",84,84,84,0,2015-04-27,"Suunto Vertical Blue 2015","New Zealand"
227,"Ashley CHAPMAN ",83,83,83,0,2016-05-26,"Caribbean Cup 2016","United States"
228,"Sebastian NÄSLUND ",83,83,83,0,2009-12-02,"Deans Blue Hole Crew","Sweden"
229,"Mike WELLS ",83,83,83,0,2011-06-23,"Triple Depth 2011","Australia"
230,"Michael BOARD ",83,83,83,0,2011-09-15,"AIDA Individual Depth World Championship 2011","United Kingdom"
231,"Pascal BERGER ",83,83,83,0,2014-08-25,"2014 AIDA EuroCup","Switzerland"
232,"Alejandro  Lemus ",83,83,83,0,2013-11-09,"Vertical Blue 2013","Mexico"
233,"Sofia Gomez Uribe ",82,82,82,0,2016-05-26,"Caribbean Cup 2016","Colombia"
234,"Natalia ZHARKOVA ",82,82,82,0,2016-11-03,"Red C cup","Ukraine"
235,"Thibault GUIGNES ",82,95,68,0,2016-06-21,"Freedive Panglao June Minicompetition","France"
236,"Timothy Oehmigen ",82,82,82,0,2016-04-30,"Freedive Panglao Depth Challenge","Germany"
237,"Walter STEYN ",82,82,82,0,2010-04-27,"Vertical Blue 2010 - the Suunto Dive-Off","Australia"
238,"Igor LIBERTI ",82,82,82,0,2011-04-17,"Vertical Blue 2011","Switzerland"
239,"Johan THELAUS ",82,82,82,0,2009-04-21,"(in progress) Bizzy Blue Hole 2009","Sweden"
240,"Natalia MOLCHANOVA ",82,82,82,0,2008-06-10,"Triple Depth 2008","Russian Federation"
241,"Alena ZABLOUDILOVÁ ",82,82,82,0,2012-10-20,"TRIPLE DEPTH 2012","Czech Republic"
242,"Alena ZABLOUDILOVÁ ",82,82,82,0,2012-11-20,"Suunto Vertical Blue 2012","Czech Republic"
243,"Alena ZABLOUDILOVÁ ",82,82,82,0,2012-11-20,"Suunto Vertical Blue 2012","Czech Republic"
244,"Alena ZABLOUDILOVÁ ",82,82,82,0,2012-11-20,"Suunto Vertical Blue 2012","Czech Republic"
245,"Antero JOKI ",82,82,82,0,2013-11-09,"Vertical Blue 2013","Finland"
246,"Jure DAIC ",82,82,82,0,2010-09-26,"Rab Dive Off 2010","Slovenia"
247,"Leo Yasumasa MURAOKA ",82,82,82,0,2013-11-09,"Vertical Blue 2013","United States"
248,"Robert KING ",82,82,82,0,2009-06-22,"2nd Mediterranean Freediving Meeting","United States"
249,"Robert KING ",82,82,82,0,2014-11-27,"Suunto Vertical Blue","United States"
250,"Florent PASCAL ",82,82,82,0,2010-04-29,"Bizzy Blue Hole 2010","France"
251,"Yaron HOORY ",82,82,82,0,2013-11-09,"Vertical Blue 2013","Israel"
252,"Pascal BERGER ",82,82,82,0,2013-10-30,"One Breath Jamboree","Switzerland"
253,"Thomas REINER ",82,82,82,0,2013-10-21,"Triple Depth","Germany"
254,"Jeanine GRASMEIJER ",82,82,82,0,2015-09-11,"2015 AIDA Depth World Championships","Netherlands"
255,"Thibault GUIGNES ",82,82,82,0,2015-09-11,"2015 AIDA Depth World Championships","France"
256,"Walid BOUDHIAF ",82,90,73,9,2013-05-20,"Caribbean Cup 2013","Tunisia"
257,"Sofia Uribe GOMEZ ",82,82,82,0,2016-04-22,"Vertical Blue 2016","Colombia"
258,"Sofia Gomez Uribe ",82,82,82,0,2016-05-26,"Caribbean Cup 2016","Colombia"
259,"Sofia Gomez Uribe ",82,82,82,0,2016-05-26,"Caribbean Cup 2016","Colombia"
260,"Kurt Chambers ",82,82,82,0,2013-08-02,"Freedive Paradise in 3D","United States"
261,"Tomoka FUKUDA ",81,81,81,0,2016-05-26,"Caribbean Cup 2016","Japan"
262,"Alejandro W. ANDRES ",81,81,81,0,2016-05-26,"Caribbean Cup 2016","Argentina"
263,"Pepe SALCEDO ",81,81,81,0,2016-05-26,"Caribbean Cup 2016","Mexico"
264,"Carlos COSTE ",81,91,70,11,2015-11-01,"Big Blue","Venezuela"
265,"Ryuzo SHINOMIYA ",81,81,81,0,2007-10-21,"Triple Depth","Japan"
266,"Leo Yasumasa MURAOKA ",81,81,81,0,2009-04-03,"Vertical Blue 2009","United States"
267,"Leo Yasumasa MURAOKA ",81,81,81,0,2012-11-20,"Suunto Vertical Blue 2012","United States"
268,"Leo Yasumasa MURAOKA ",81,81,81,0,2012-11-20,"Suunto Vertical Blue 2012","United States"
269,"Leo Yasumasa MURAOKA ",81,81,81,0,2012-11-20,"Suunto Vertical Blue 2012","United States"
270,"Sara CAMPBELL ",81,81,81,0,2007-10-21,"Triple Depth","United Kingdom"
271,"Rune Hallum SORENSEN ",81,81,81,0,2011-09-15,"AIDA Individual Depth World Championship 2011","Denmark"
272,"Ken KIRIYAMA ",81,81,81,0,2015-05-23,"Caribbean Cup 2015","Denmark"
273,"Florent PASCAL ",81,83,80,1,2010-06-14,"3rd Mediterranean Freediving Meeting","France"
