Ranking,Name,Result_min,Announced,Points,Penalties,Date,Place,Country
11432,Holger FULLRIEDE ,3:38,240,39,5,18/11/2006,9th German Night of Apnea,United Kingdom
11433,Fouad ZARROU ,3:38,180,44,0,14/03/2004,2Ã¨me Manche Coupe d AIDA France 2004,Morocco
11434,StÃ©phane PIN ,3:38,180,44,0,12/12/2004,3rd Dutch Apnea Open,Belgium
11435,Milo BOZIC ,3:38,165,44,0,11/06/2005,Swiss Indoor Championship 2005,Switzerland
11436,Gonnie ROEKEVISCH ,3:38,120,44,0,25/04/2004,Belgium Cup - Round of Huy,Netherlands
11437,Ivan NOVAK ,3:38,170,44,0,19/11/2005,1st Submania Apnea Cup,Russian Federation
11438,Vedrana VIDOVIC ,3:38,300,27,17,3/03/2006,Mad Cup 2006,Croatia
11439,Branislav CHORVÃÅT ,3:38,210,44,0,3/03/2007,Mad Cup 2007,Slovakia
11440,Bruno SILVA ,3:38,240,39,5,7/05/2006,4th Static Tournament Rio Boat Show,Brazil
11441,Magda MILAS ,3:38,120,44,0,24/11/2007,3rd Submania Apnea Cup,Croatia
11442,Leif MAARTENSON ,3:38,120,44,0,25/03/2007,Sukeltaja Indoor Cup 2007,Finland
11443,Rustam TEREGULOV ,3:38,285,30,14,21/04/2007,Freediving Moscow Cup 2007,Russian Federation
11444,Erik SKODA ,3:38,150,44,0,30/03/2008,BELGIUM CUP 2008,Netherlands
11445,Martin STREJC ,3:38,240,39,5,7/06/2008,Czech national competition 2008,Czech Republic
11446,Giakoumakis GRIGORIS ,3:38,155,44,0,2/05/2010,3rd Pancretean Apnea Competition 2010,Greece
11447,Jennifer JELK ,3:38,180,44,0,1/05/2011,Swiss Indoor Championship 2011,Switzerland
11448,Allan HAGNER ,3:38,120,44,0,23/11/2008,4th DUTCH APNEA OPEN,Denmark
11449,Idomeneas GEORGIAKAKIS ,3:38,300,27,17,6/04/2008,AIDA Hellas Spring Apnea Games 2008,Greece
11450,Martin LEBRUN ,3:38,90,44,0,25/04/2009,6th Cup of Montreal / AIDA Canada Indoor National Championships 2009,Canada
11451,Jesper AGDUR ,3:38,150,44,0,8/02/2008,Andaman AIDA Freediving Challenge 2008,Sweden
11452,Jorge Luis PERVERSI ,3:38,105,44,0,8/11/2009,4to Campeonato Argentino de Apnea 2009,Argentina
11453,Pal VIZSOLYI ,3:38,220,43,1,5/02/2010,MAN IV - Hungarian Apnea Day 2010,Hungary
11454,Natalia DUDUEVA ,3:38,100,44,0,27/11/2010,III AIDA Ukraine Cup 2010,Russian Federation
11455,Liana VOINA ,3:38,60,44,0,9/05/2010,Coupe des Plongeurs Libres 2010,France
11456,Mathieu LE-BOT ,3:38,150,44,0,13/03/2011,8Ã‚Â° Indoor de La Ciotat,France
11457,Didier DRUMEZ ,3:38,90,44,0,16/04/2011,7 e Coupe d ApnÃƒÂ©e de MontrÃƒÂ©al,Canada
11458,tomislav HATLAK ,3:38,60,44,0,18/02/2012,6th Serbian Open Freediving Championship - Belgrade 2012,Croatia
11459,Takashi MEKATA ,3:38,153,44,0,25/04/2015,2015 True North Freediving Indoorcup in Tatsumi3 with team,Japan
11460,Alexey KOROLEV ,3:38,260,35,8,25/02/2012,Aqualibrium Pool Cup,Russian Federation
11461,Ãƒâ€_sa HERMANSSON ,3:38,150,44,0,23/03/2012,Swedish championship in pool apnea,Sweden
11462,Jan HILMAR ,3:38,150,44,0,14/10/2012,3.Apnoe Charity Event,Austria
11463,Peter Elmsted DREIER ,3:38,180,44,0,21/03/2014,Swedish national pool Championship,Denmark
11464,Peter Elmsted DREIER ,3:38,180,44,0,21/03/2014,Swedish national pool Championship,Denmark
11465,Alicia WEIER ,3:38,120,44,0,28/12/2012,FrÃƒÂ_nkische Meisterschaft im Zeittauchen 2012/ Franconian Championship in Static Apnea 2012,Germany
11466,Sean PETERS ,3:38,180,44,0,10/03/2013,Great Northern 2013 - STA - DYN,United Kingdom
11467,Melanie RESSEGUIER ,3:38,180,44,0,23/03/2013,10th La Ciotat Indoor,France
11468,Sofia DAHLGREN ,3:38,120,44,0,11/03/2015,Gothenburg Static,Sweden
11469,Petros TOUBANAKIS ,3:38,150,44,0,11/05/2014,AIDA Hellas Pool Championship 2014,Greece
11470,andrey VERTOGRADOV ,3:38,240,39,4,13/12/2014,III World Class Open 2014,Russian Federation
11471,Mariya SHELEG ,3:38,101,44,0,25/01/2015,Yaroslavl Freediving Open Championship,Russian Federation
11472,Evgeny MAKAROV ,3:38,7,44,0,13/12/2014,III World Class Open 2014,Russian Federation
11473,Hellen GARNER ,3:38,240,39,5,7/06/2006,Freedive Dahab Static II,South Africa
11474,Sophia STANDER ,3:38,180,44,0,3/05/2007,AIDA South Africa Freediving Competition,South Africa
11475,Nils MANNE ,3:38,26,44,0,8/04/2016,"Swedish championship in pool freediving 2016, Men",Sweden
11476,Linda Stenman ,3:37,1,43.4,0,16/09/2016,Team World Championship,Sweden
11477,Ulrik Lyng VESTERGAARD ,3:37,0,43,0,23/11/2002,1st Copenhagen Open,Denmark
11478,Marco MELILEO ,3:37,0,43,0,6/04/2002,Swiss Winter Championship 2002,Switzerland
11479,Dirk WOUTERS ,3:37,0,43,0,6/04/2002,Stage 3 of the 2002 Belgium Cup,Belgium
11480,Dirk WOUTERS ,3:37,240,38,5,5/03/2005,5th Night of Apnea - Belgium Championship 2005,Belgium
11481,Tom ALBERELLI ,3:37,0,43,0,28/09/2002,CAFA Eastern Regional Competition,Canada
11482,Elena SCHERSCHNEVA ,3:37,0,43,0,26/10/2002,3rd Rhein Main Cup 2002,Austria
11483,Paulo NÃ“BREGA ,3:37,0,43,0,27/07/2002,1st Portuguese Freediving Championship,Portugal
11484,Leonardo FARIAS ,3:37,0,43,0,14/09/2002,2nd Brazilian apnea selections 2002,Brazil
11485,FrÃ©dÃ©ric BUSSLINGER ,3:37,193,43,0,12/04/2003,Open Swiss Winter Championship 2003,Switzerland
11486,Andy LAURIE ,3:37,165,43,0,29/05/2003,Sony Freediver Open Classic 2003,United Kingdom
11487,Hoi LEUNG ,3:37,150,43,0,3/06/2005,CAFA Eastern Regional Competition,Canada
11488,Jacqueline ARIOL ,3:37,120,40,3,8/02/2004,1Ã¨re Manche Coupe d AIDA France 2004,France
11489,Stephane KELLER ,3:37,180,43,0,6/05/2004,4Ã¨me Manche Coupe d AIDA France 2004,France
11490,Junko KITAHAMA ,3:37,60,43,0,24/08/2008,Prechallenge 2008,Japan
11491,Junko KITAHAMA ,3:37,1,43,0,11/11/2011,Freedive Paradise,Japan
11492,Catherine JOURDAN ,3:37,165,43,0,8/02/2004,1Ã¨re Manche Coupe d AIDA France 2004,France
11493,Sabine MARTIN-KÃ„TTENBUSCH ,3:37,135,43,0,19/02/2005,7th Berlin Masters Cup 2005,Germany
11494,Kaisa MÃ„KI-KIHNIÃ„ ,3:37,155,43,0,31/07/2004,Finnish Freediving Championship 2004,Finland
11495,Stavros KOSTAKOS ,3:37,210,43,0,9/03/2014,Athens Apnea 2014,Greece
11496,Martin MÃœLLER ,3:37,210,43,0,1/06/2008,Aarhus Triple Challenge 2008,Germany
11497,Jarmila SLOVENCÃçKOVÃÅ ,3:37,120,43,0,27/05/2011,MCR Czech AIDA Championship 2011,Czech Republic
11498,Maria Livbjerg ,3:37,9,43,0,14/08/2007,Nordic Deep with Six Competitions in One,Denmark
11499,Luis DELGADO ,3:37,180,43,0,26/05/2006,National Individual Championships 2006,Venezuela
11500,Aya MIZUMURA ,3:37,10,43,0,29/05/2015,Curtis Coast Freedive Challenge,Japan
11501,Per HELLUM ,3:37,60,43,0,10/06/2006,Aarhus Triple Challenge II,Denmark
11502,Augusto VALDEZ ,3:37,120,43,0,26/05/2006,National Individual Championships 2006,Venezuela
11503,Goran VUKADINOVIC ,3:37,120,43,0,17/02/2007,AIDA Serbia Freediving Championship,Serbia
11504,Olga Martinez ALVAREZ ,3:37,120,43,0,10/11/2007,10th Night of Apnea 2007,Germany
11505,Ernesto ESTEBAN DE LOS RIOS ,3:37,270,32,11,22/09/2007,Rhein-Main Cup 2007,Spain
11506,Junko USAMI ,3:37,180,43,0,29/03/2009,Big Blue 2nd Official Pool Competition,Japan
11507,Alexey BURNIN ,3:37,180,43,0,22/03/2008,I Freediving Cup of AIDA Ukraine,Ukraine
11508,Gennady MALAFEEV ,3:37,210,43,0,24/04/2010,Freediving Moscow Cup 2010,Russian Federation
