Ranking,Name,Result_min,Announced,Points,Penalties,Date,Place,Country
1,StÃ©phane MIFSUD ,11:35,0,139,0,8/06/2009,WR Attempt - MIFSUD Stephane(Static Apnea),France
2,Branko PETROVIC ,10:23,480,125,0,18/11/2011,Submania Cup 2011,Serbia
3,Tom SIETAS ,10:12,0,0,0,3/06/2008,WR Attempt - SIETAS Tom(STA),Germany
4,Aleix SEGURA VENDRELL ,10:07,435,121,0,19/06/2015,Individual AIDA Pool World Championships - Belgrade 2015,Spain
5,Aleix SEGURA VENDRELL ,9:32,435,112,2,19/06/2015,Individual AIDA Pool World Championships - Belgrade 2015,Spain
6,Aleix SEGURA VENDRELL ,9:23,425,111.6,1,27/06/2016,Pool World Championships 2016,Spain
7,Aleix SEGURA VENDRELL ,9:23,425,111.6,1,27/06/2016,Pool World Championships 2016,Spain
8,Branko PETROVIC ,9:21,480,112,0,11/11/2012,Hydro Dynamic - Austrian Championship 2012,Serbia
9,Goran COLAK ,9:19,1,112,0,12/10/2013,Sofia Freediving Cup 2013,Croatia
10,Tom SIETAS ,9:15,0,0,0,11/05/2008,WR Attempt - SIETAS Tom(STA),Germany
11,Goran COLAK ,9:14,510,110.8,0,27/06/2016,Pool World Championships 2016,Croatia
12,Martin Valenta ,9:14,1,111,0,2/12/2016,BarbÃ_rkowy Puchar Å_lÄ…ska we Freedivingu 2016 | The Silesia Freediving Pool Cup 2016,Czech Republic
13,Goran COLAK ,9:13,122,111,0,19/09/2014,AIDA Team World Championships 2014,Croatia
14,Martin Valenta ,9:05,1,109,0,26/11/2016,MiniComp Brno 2016,Czech Republic
15,Martin Valenta ,9:04,452,108.8,0,27/06/2016,Pool World Championships 2016,Czech Republic
16,Herbert NITSCH ,9:04,0,0,0,12/12/2006,WR Attempt - NITSCH Herbert(CWT-CNF-FIM-STA),Austria
17,Aleix SEGURA VENDRELL ,9:04,450,109,0,20/04/2014,AIDA NATIONAL COMP 2014,Spain
18,Guy BREW ,9:03,300,109,0,12/07/2009,"Wellington Winter Champs, Freediving Competition DAY 1",New Zealand
19,Natalia MOLCHANOVA ,9:02,410,108,0,21/06/2013,Individual AIDA pool World Championships,Russian Federation
20,Tom SIETAS ,9:00,0,0,0,26/08/2006,WR Attempt - SIETAS Tom(STA-DYN-DNF),Germany
21,Goran COLAK ,8:59,450,108,0,21/06/2013,Individual AIDA pool World Championships,Croatia
22,Tom SIETAS ,8:58,420,108,0,12/12/2004,3rd Dutch Apnea Open,Germany
23,Martin Valenta ,8:57,1,107.4,0,27/05/2016,The XIII Polish Feediving Pool Championships,Czech Republic
24,Tom SIETAS ,8:56,420,107,0,30/10/2004,Rhein Main Cup 2004,Germany
25,Vincent MATHIEU ,8:53,317,105.6,1,16/09/2016,Team World Championship,France
26,Tom SIETAS ,8:47,0,0,0,11/06/2004,WR Attempt - SIETAS Tom (STA),Germany
27,Guy BREW ,8:46,430,105,0,21/08/2009,5th AIDA Individual Pool World Championship 2009,New Zealand
28,Giorgos PANAGIOTAKIS ,8:46,442,105,0,21/06/2013,Individual AIDA pool World Championships,Greece
29,Eugen GOETTLING ,8:46,441,105,0,21/06/2013,Individual AIDA pool World Championships,Austria
30,Goran COLAK ,8:44,1,105,0,23/02/2013,7th Serbian Open Freediving Championship - Belgrade 2013,Croatia
31,Ulf DEXTEGEN ,8:43,1,105,0,30/01/2009,Finnkampen II,Sweden
32,Robert CETLER ,8:42,211,104,0,20/03/2010,1st Polish Pool Freediving Championship 2010,Poland
33,Goran COLAK ,8:42,495,104,0,19/06/2015,Individual AIDA Pool World Championships - Belgrade 2015,Croatia
34,Martin Valenta ,8:40,301,104,0,29/10/2016,Hydro Dynamic 2016 by SALVIMAR,Czech Republic
35,Martin Valenta ,8:40,302,104,0,29/10/2016,Austria Hydro Dynamic 2016,Czech Republic
36,Stig Ã…vall SEVERINSEN ,8:40,4,104,0,15/06/2007,Aarhus Triple Challenge day one,Denmark
37,Natalia MOLCHANOVA ,8:38,405,104,0,19/06/2015,Individual AIDA Pool World Championships - Belgrade 2015,Russian Federation
38,Veljano ZANKI ,8:38,420,104,0,7/12/2012,MAD CUP 2012,Croatia
39,Tom SIETAS ,8:35,420,103,0,20/11/2004,7th Night of Apnea,Germany
40,Guy BREW ,8:35,423,103,0,18/06/2011,Wellington Winter Champs 2011,New Zealand
41,Goran COLAK ,8:35,1,103,0,19/02/2010,Serbian Open Freediving Championship 2010,Croatia
42,Goran COLAK ,8:34,1,103,0,21/06/2013,Individual AIDA pool World Championships,Croatia
43,Tom SIETAS ,8:33,420,103,0,3/03/2006,Mad Cup 2006,Germany
44,Alexey MOLCHANOV ,8:33,420,103,0,21/06/2013,Individual AIDA pool World Championships,Russian Federation
45,Goran COLAK ,8:32,420,102.4,0,2/04/2016,Freediving Finnish Open 2016,Croatia
46,Alexey MOLCHANOV ,8:31,421,102,0,21/08/2009,5th AIDA Individual Pool World Championship 2009,Russian Federation
47,Guy BREW ,8:31,365,102,0,15/11/2008,Ocean Hunter Deep Obsession 08,New Zealand
48,Alexandr BUBENCHIKOV ,8:30,93,102,0,6/02/2016,Riga Freediving Cup 2016,Ukraine
49,Natalia MOLCHANOVA ,8:30,255,102,0,19/09/2014,AIDA Team World Championships 2014,Russian Federation
50,Veronika DITTES ,8:30,407,102,0,19/06/2015,Individual AIDA Pool World Championships - Belgrade 2015,Austria
51,Ulf DEXTEGEN ,8:29,10,102,0,21/08/2009,5th AIDA Individual Pool World Championship 2009,Sweden
52,Guy BREW ,8:27,0,101,0,6/07/2010,7th AIDA Team World Championship 2010,New Zealand
53,Natalia MOLCHANOVA ,8:23,421,101,0,21/08/2009,5th AIDA Individual Pool World Championship 2009,Russian Federation
54,Martin Valenta ,8:21,425,100.2,0,16/09/2016,Team World Championship,Czech Republic
55,Martin Valenta ,8:21,1,100,0,11/12/2015,The Silesia Freediving Pool Cup,Czech Republic
56,Vincent MATHIEU ,8:20,405,100,0,22/05/2016,Enchirolles 2016,France
57,Sam STILL ,8:19,420,100,0,27/08/2005,1st AIDA Individual Pool World Freediving Championship,United Kingdom
58,Branko PETROVIC ,8:18,241,100,0,2/04/2011,1st Naissub Freediving Cup 2011,Serbia
59,Robert CETLER ,8:17,181,99,0,20/03/2011,2nd Polish Pool Freediving Championship 2011,Poland
60,Goran COLAK ,8:17,203,99,0,19/06/2015,Individual AIDA Pool World Championships - Belgrade 2015,Croatia
61,Ulf DEXTEGEN ,8:17,1,99,0,23/11/2008,4th DUTCH APNEA OPEN,Sweden
62,Peter Durdik ,8:16,60,99.2,0,26/11/2016,MiniComp Brno 2016,Slovakia
63,Goran COLAK ,8:15,305,99,0,27/06/2016,Pool World Championships 2016,Croatia
64,Guy BREW ,8:15,366,99,0,4/10/2014,Dive Wellington Beuchat New Zealand Pool Freediving Championships,New Zealand
65,Goran COLAK ,8:15,370,99,0,6/03/2010,Mad Cup 2010,Croatia
66,Sam STILL ,8:14,420,99,0,27/08/2005,1st AIDA Individual Pool World Freediving Championship,United Kingdom
67,Veljano ZANKI ,8:14,420,99,0,16/11/2012,8th Submania Apnea Cup,Croatia
68,Ivan ZIZIC ,8:14,67,99,0,21/05/2016,Ukrainian Open Pool Freediving Championship 2016,Croatia
69,Andrej ROPRET ,8:13,60,98.6,0,29/04/2016,12nd Submania Apnea Cup,Slovenia
70,Timo KINNUNEN ,8:13,370,98.6,0,27/06/2016,Pool World Championships 2016,Finland
71,thomas BOUCHARD ,8:13,180,98.6,0,22/05/2016,Enchirolles 2016,France
72,Ulf DEXTEGEN ,8:13,421,99,0,25/03/2011,Swedish Freediving Championship 2011,Sweden
73,Elmar KLIER ,8:12,433,98,0,21/06/2013,Individual AIDA pool World Championships,Austria
74,David MULLINS ,8:11,270,98,0,3/09/2008,AIDA Team World Championships 2008,New Zealand
75,Eugen GOETTLING ,8:11,421,98,0,21/06/2013,Individual AIDA pool World Championships,Austria
76,Tom SIETAS ,8:10,420,98,0,28/05/2005,CIPA Open of Nice,Germany
77,Goran COLAK ,8:10,305,98,0,7/10/2011,World Championship AIDA 2011 Indoor Event,Croatia
78,Timothy Oehmigen ,8:09,0,6,9,23/01/2016,Freedive Panglao Pool Challenge,Germany
79,Ulf DEXTEGEN ,8:09,420,98,0,10/05/2009,Swedish pool-apnea cup/Uppland Indoor Challenge II,Sweden
80,Adrian KWIATKOWSKI ,8:09,60,98,0,7/10/2011,World Championship AIDA 2011 Indoor Event,Poland
81,Michael NAEF ,8:09,303,98,0,19/02/2011,13th Berlin Masters Cup 2011,Switzerland
82,Timo KINNUNEN ,8:08,430,98,0,21/08/2009,5th AIDA Individual Pool World Championship 2009,Finland
83,Guy BREW ,8:08,365,98,0,13/02/2010,New Zealand International Freediving Challenge,New Zealand
84,Samo JERANKO ,8:08,1,98,0,19/06/2015,Individual AIDA Pool World Championships - Belgrade 2015,Slovenia
85,Regis SCARONE ,8:08,375,98,0,12/04/2015,12ÃƒÂ¨me Indoor de La Ciotat - 4ÃƒÂ¨me manche Coupe AIDA France,France
86,Martin Valenta ,8:07,448,97.4,0,27/06/2016,Pool World Championships 2016,Czech Republic
87,Tom SIETAS ,8:07,450,97,0,23/10/2004,1st Freediver Event of TSC Einbeck,Germany
88,Goran COLAK ,8:07,50,97,0,11/02/2012,Riga Freediving Cup 2012 AIDA,Croatia
89,Ulf DEXTEGEN ,8:07,441,97,0,21/06/2013,Individual AIDA pool World Championships,Sweden
90,Alexis DUVIVIER ,8:06,360,97.2,0,16/09/2016,Team World Championship,France
91,Martin STEPANEK ,8:06,0,0,0,3/07/2001,WR Attempt - STEPANEK Martin (STA),Czech Republic
92,Adrian KWIATKOWSKI ,8:06,1,97,0,7/12/2013,The International Silesian Freediving Cup,Poland
93,Guy BREW ,8:05,395,97,0,10/05/2008,Apneists Challenge 2008,New Zealand
94,Ulf DEXTEGEN ,8:04,1,97,0,21/06/2013,Individual AIDA pool World Championships,Sweden
95,Alexandr BUBENCHIKOV ,8:04,70,97,0,23/05/2015,Ukrainian Freediving Pool Championship 2015,Ukraine
96,Alexey MOLCHANOV ,8:03,93,97,0,7/10/2011,World Championship AIDA 2011 Indoor Event,Russian Federation
97,Alexey MOLCHANOV ,8:03,440,97,0,7/10/2011,World Championship AIDA 2011 Indoor Event,Russian Federation
98,Nicolas GUERRY ,8:03,0,97,0,10/08/2010,Europe Evolution Cup 2010,Switzerland
99,Tomaz JEREB ,8:03,1,97,0,31/03/2012,Blood Red Philippine Depth Challenge,Slovenia
100,Timo KINNUNEN ,8:02,430,96.4,0,27/06/2016,Pool World Championships 2016,Finland
101,Andrea RICHICHI ,8:02,360,96,0,9/02/2013,Andaman Freediving Competition,Italy
102,Alexey MOLCHANOV ,8:02,330,96,0,21/08/2009,5th AIDA Individual Pool World Championship 2009,Russian Federation
103,Goran COLAK ,8:02,330,96,0,3/10/2009,Rhein-Main Cup 2009,Croatia
104,Goran COLAK ,8:02,1,96,0,5/12/2010,Silesian Freediving Cup 2010,Croatia
105,Regis SCARONE ,8:02,390,96,0,10/05/2015,Coupe AIDA France indoor OCEANIDE - Montpellier 2015,France
106,Aleix SEGURA VENDRELL ,8:02,450,94,2,15/02/2015,Trofeu ADAS Cavalldemar AIDA,Spain
107,Martin Valenta ,8:02,1,96,0,14/11/2015,Long Night of Apnea 2015,Czech Republic
108,StÃ©phane MIFSUD ,8:01,390,96,0,25/04/2010,7A Indoor de La Ciotat,France
109,Robert CETLER ,8:01,120,96,0,11/05/2013,Basenowe Mistrzostwa Polski we Freedivingu 2013,Poland
110,Alexey MOLCHANOV ,8:01,421,96,0,19/06/2015,Individual AIDA Pool World Championships - Belgrade 2015,Russian Federation
111,Eric VAN RIET PAAP ,8:01,396,96,0,29/03/2009,Belgium Cup 2009 - round of Namur,Netherlands
112,Eugen GOETTLING ,8:01,436,96,0,11/11/2012,Hydro Dynamic - Austrian Championship 2012,Austria
113,Alexey MOLCHANOV ,8:01,120,96,0,26/11/2015,Pan Pacific Championship,Russian Federation
114,Krzysztof DABROWSKI ,8:00,1,96,0,27/06/2016,Pool World Championships 2016,Poland
115,Mateusz Malina ,8:00,1,96,0,27/05/2016,The XIII Polish Feediving Pool Championships,Poland
116,Natalia MOLCHANOVA ,8:00,390,96,0,4/07/2007,AIDA Pool World Championships with Finals,Russian Federation
117,Aleix SEGURA VENDRELL ,8:00,425,96,0,25/08/2014,2014 AIDA EuroCup,Spain
118,Mateusz Malina ,8:00,300,96,0,19/06/2015,Individual AIDA Pool World Championships - Belgrade 2015,Poland
119,Mateusz Malina ,8:00,56,96,0,11/12/2015,The Silesia Freediving Pool Cup,Poland
120,Gabriela GREZLOVA ,7:59,348,95.8,0,27/06/2016,Pool World Championships 2016,Czech Republic
121,Guy BREW ,7:58,426,96,0,21/08/2009,5th AIDA Individual Pool World Championship 2009,New Zealand
122,Ulf DEXTEGEN ,7:58,1,96,0,15/03/2013,Swedish pool freediving championship,Sweden
123,Regis SCARONE ,7:58,375,96,0,15/03/2015,Coupe des Plongeurs Libres,France
124,Regis SCARONE ,7:58,420,96,0,19/06/2015,Individual AIDA Pool World Championships - Belgrade 2015,France
125,Ulf DEXTEGEN ,7:57,370,95,0,26/04/2008,Uppland Indoor Challenge 08,Sweden
126,Ulf DEXTEGEN ,7:57,441,95,0,7/10/2011,World Championship AIDA 2011 Indoor Event,Sweden
127,Rune Hallum SORENSEN ,7:55,1,95,0,25/03/2011,Swedish Freediving Championship 2011,Denmark
128,Eric VAN RIET PAAP ,7:54,213,95,0,4/10/2014,Rhein Main Cup 2014,Netherlands
129,Timo KINNUNEN ,7:53,360,95,0,27/08/2005,1st AIDA Individual Pool World Freediving Championship,Finland
130,Jesper STECHMANN ,7:53,420,95,0,21/08/2009,5th AIDA Individual Pool World Championship 2009,Denmark
131,Wolfram NEUGEBAUER ,7:53,425,95,0,14/08/2007,Nordic Deep with Six Competitions in One,Germany
132,Regis SCARONE ,7:53,300,95,0,20/04/2014,Coupe des Plongeurs Libres,France
133,Regis SCARONE ,7:52,421,94.4,0,27/06/2016,Pool World Championships 2016,France
134,Jens SCHOU ,7:52,393,94,0,13/08/2009,Nordic Deep 2009,Sweden
135,Regis SCARONE ,7:52,330,94,0,16/03/2014,11th Indoor La Ciotat,France
136,Timo KINNUNEN ,7:51,460,94,0,21/08/2009,5th AIDA Individual Pool World Championship 2009,Finland
137,Yosuke SEKIYA ,7:51,330,94,0,21/06/2013,Individual AIDA pool World Championships,Japan
138,Olivier AZZOPARDI ,7:50,420,94,0,27/06/2016,Pool World Championships 2016,France
139,Timo KINNUNEN ,7:50,390,94,0,14/04/2006,Finnish National Championships,Finland
140,Jesper STECHMANN ,7:50,157,94,0,9/09/2012,World Championship 2012,Denmark
141,Alexey MOLCHANOV ,7:50,390,94,0,23/03/2012,Open Moscow Cup,Russian Federation
142,Tomaz JEREB ,7:50,1,94,0,12/04/2014,Gili Pool Comp,Slovenia
143,Giorgos PANAGIOTAKIS ,7:49,422,94,0,19/06/2015,Individual AIDA Pool World Championships - Belgrade 2015,Greece
144,Michael NAEF ,7:49,300,94,0,21/08/2009,5th AIDA Individual Pool World Championship 2009,Switzerland
145,Tom SIETAS ,7:48,359,94,0,21/02/2004,6th Berlin Masters Cup 2004,Germany
146,Bruno SEGVIC ,7:48,300,94,0,19/09/2014,AIDA Team World Championships 2014,Croatia
147,Elmar KLIER ,7:48,449,94,0,11/11/2012,Hydro Dynamic - Austrian Championship 2012,Austria
148,Willi HOFFMANN ,7:47,330,93.4,0,27/06/2016,Pool World Championships 2016,Germany
149,Valdemar Karlsson ,7:47,395,93.4,0,27/06/2016,Pool World Championships 2016,Sweden
150,Timo KINNUNEN ,7:47,360,93,0,21/01/2006,Hervanta Underground Apnea,Finland
151,Jesper STECHMANN ,7:47,360,93,0,13/06/2009,Aarhus Triple Challenge 2009,Denmark
152,Ulf DEXTEGEN ,7:47,0,93,0,4/10/2008,Europe Evolution Cup,Sweden
153,ALBAN BURLET ,7:46,422,93.2,0,27/06/2016,Pool World Championships 2016,France
154,Robert CETLER ,7:46,240,93,0,3/10/2009,Rhein-Main Cup 2009,Poland
155,Alexey MOLCHANOV ,7:46,372,93,0,19/06/2015,Individual AIDA Pool World Championships - Belgrade 2015,Russian Federation
156,Kathryn Nevatt ,7:45,355,93,0,28/10/2016,New Zealand National Champs 2016,New Zealand
157,Timo KINNUNEN ,7:45,360,93,0,25/03/2007,Sukeltaja Indoor Cup 2007,Finland
158,Ulf DEXTEGEN ,7:45,430,93,0,21/05/2011,Finnish National Pool Championships 2011,Sweden
159,Veronika DITTES ,7:44,345,93,0,21/06/2013,Individual AIDA pool World Championships,Austria
160,Jens SCHOU ,7:44,390,93,0,21/08/2009,5th AIDA Individual Pool World Championship 2009,Sweden
161,Jens SCHOU ,7:44,390,93,0,10/10/2009,Hostapneiaden 2009 B,Sweden
162,Martin Valenta ,7:44,1,93,0,12/09/2015,MiniComp Brno,Czech Republic
163,Valdemar Karlsson ,7:44,373,93,0,19/06/2015,Individual AIDA Pool World Championships - Belgrade 2015,Sweden
164,Igor DEMCHISHIN ,7:43,341,92.6,0,26/08/2016,Moscow Summer Apnea Evening,Russian Federation
165,Herbert NITSCH ,7:43,454,92,1,9/12/2006,5th AIDA Freediving Team World Championship,Austria
166,Stig Ã…vall SEVERINSEN ,7:43,345,93,0,19/08/2006,Nordic Deep 2006,Denmark
167,Timo KINNUNEN ,7:43,345,93,0,31/07/2004,Finnish Freediving Championship 2004,Finland
168,Alexey MOLCHANOV ,7:43,410,93,0,21/06/2013,Individual AIDA pool World Championships,Russian Federation
169,Michael NAEF ,7:43,300,93,0,21/08/2009,5th AIDA Individual Pool World Championship 2009,Switzerland
170,Steve BENSON ,7:43,300,93,0,4/05/2012,Deja Blue 3,United States
171,Jens SCHOU ,7:42,270,92,0,13/06/2009,Aarhus Triple Challenge 2009,Sweden
172,Samo JERANKO ,7:41,162,92,0,19/06/2015,Individual AIDA Pool World Championships - Belgrade 2015,Slovenia
173,Jean-Pol FRANCOIS ,7:41,300,92,0,23/03/2013,MDC Pool Master Apnea Challenge,Belgium
174,Aleix SEGURA VENDRELL ,7:41,425,92,0,14/12/2014,Trofeu Oscar Lopez 2014,Spain
175,florian DAGOURY ,7:41,300,92,0,13/02/2014,Blue Immersion Static Challenge,France
176,Regis SCARONE ,7:40,436,92,0,27/06/2016,Pool World Championships 2016,France
177,Gaspare BATTAGLIA ,7:40,300,92,0,9/09/2012,World Championship 2012,Italy
178,Kathryn Nevatt ,7:40,347,92,0,8/06/2014,Wellington Winter Champs 2014,New Zealand
179,ALBAN BURLET ,7:39,397,91.8,0,27/06/2016,Pool World Championships 2016,France
180,Mateusz Malina ,7:39,1,0,0,26/11/2016,MiniComp Brno 2016,Poland
181,Timo KINNUNEN ,7:39,360,92,0,9/12/2006,5th AIDA Freediving Team World Championship,Finland
182,Bill GRAHAM ,7:39,450,92,0,30/07/2009,Freedive Paradise 2009,United States
183,Olivier AZZOPARDI ,7:39,420,92,0,19/06/2015,Individual AIDA Pool World Championships - Belgrade 2015,France
184,Eugen GOETTLING ,7:39,420,92,0,5/05/2013,Vienna Charity Cup,Austria
185,Stig Ã…vall SEVERINSEN ,7:38,361,92,0,23/02/2008,10th Berlin Masters Cup / 3rd German Indoor Championship,Denmark
186,Jesper STECHMANN ,7:38,362,92,0,21/02/2009,11th Berlin Master Cup 2009,Denmark
187,Robert CETLER ,7:38,190,92,0,5/12/2010,Silesian Freediving Cup 2010,Poland
188,Ulf DEXTEGEN ,7:38,1,92,0,23/03/2012,Swedish championship in pool apnea,Sweden
189,Bruno SEGVIC ,7:38,445,92,0,28/02/2015,9th Serbian Open Freediving Championship - Belgrade 2015,Croatia
190,Timo KINNUNEN ,7:37,360,91,0,23/03/2008,Sukeltaja Indoor Apnea 2008,Finland
191,Timo KINNUNEN ,7:37,1,91,0,26/03/2015,Freediving Finnish Open 2015,Finland
192,Herbert NITSCH ,7:36,360,91,0,9/09/2006,AIDA Hellas 2006 Summer Apnea Games,Austria
193,Jacob HANSEN ,7:36,1,91,0,9/09/2012,World Championship 2012,Denmark
194,Regis SCARONE ,7:36,300,91,0,23/03/2013,10th La Ciotat Indoor,France
195,Yosuke SEKIYA ,7:36,60,91,0,21/06/2013,Individual AIDA pool World Championships,Japan
196,Guy BREW ,7:35,360,91,0,28/10/2016,New Zealand National Champs 2016,New Zealand
197,Olivier AZZOPARDI ,7:35,300,91,0,27/06/2016,Pool World Championships 2016,France
198,Andy LE SAUCE ,7:35,0,0,0,4/04/1996,WR Attempt - LESAUCE Andy (STA),France
199,Wolfram NEUGEBAUER ,7:35,1,91,0,15/02/2014,German Pool Championship 2014,Germany
200,Peter BOIVIE ,7:35,1,91,0,30/01/2009,Finnkampen II,Sweden
201,BenoÃ®t CONEM ,7:35,120,91,0,20/11/2011,Open Freedive LiÃƒÂ¨ge Belgium,France
202,Regis SCARONE ,7:35,420,91,0,19/06/2015,Individual AIDA Pool World Championships - Belgrade 2015,France
203,Jean-Pol FRANCOIS ,7:35,330,91,0,25/01/2015,The 1st AIDA Mini Pool Competiton in HONG KONG,Belgium
204,Timo KINNUNEN ,7:34,360,91,0,19/02/2005,One Breath Indoor Apnea Challenge 2005,Finland
205,Jesper STECHMANN ,7:34,435,91,0,21/08/2009,5th AIDA Individual Pool World Championship 2009,Denmark
206,Nicolas GUERRY ,7:34,406,91,0,4/07/2007,AIDA Pool World Championships with Finals,Switzerland
207,Nicolas GUERRY ,7:34,360,91,0,8/02/2008,Swiss Indoor Championship 2008,Switzerland
208,Simo KURRA ,7:34,300,91,0,21/01/2006,Hervanta Underground Apnea,Finland
209,Mikko PÃ–NTINEN ,7:34,120,91,0,7/10/2011,World Championship AIDA 2011 Indoor Event,Finland
210,Ulf DEXTEGEN ,7:34,1,91,0,9/02/2013,Riga Freediving Cup 2013,Sweden
211,Ulf DEXTEGEN ,7:34,1,91,0,9/02/2013,Riga Freediving Cup 2013,Sweden
212,Giorgos PANAGIOTAKIS ,7:34,420,91,0,21/08/2009,5th AIDA Individual Pool World Championship 2009,Greece
213,Kathryn Nevatt ,7:34,336,91,0,18/06/2011,Wellington Winter Champs 2011,New Zealand
214,JÃ©rÃ´me CHAPELLE ,7:33,360,90.6,0,27/06/2016,Pool World Championships 2016,France
215,Mateusz Malina ,7:33,1,90.6,0,2/12/2016,BarbÃ_rkowy Puchar Å_lÄ…ska we Freedivingu 2016 | The Silesia Freediving Pool Cup 2016,Poland
216,Mateusz Malina ,7:33,60,90.6,0,27/06/2016,Pool World Championships 2016,Poland
217,Mateusz Malina ,7:33,60,90.6,0,27/06/2016,Pool World Championships 2016,Poland
218,Peter Durdik ,7:33,1,90.6,0,1/10/2016,Rhein Main Cup 2016,Slovakia
219,Jean-Michel PRADON ,7:33,420,91,0,7/10/2011,World Championship AIDA 2011 Indoor Event,France
220,Weine GUSTAVSSON ,7:33,300,91,0,1/06/2008,Aarhus Triple Challenge 2008,Sweden
221,Alexey MOLCHANOV ,7:33,0,91,0,4/10/2008,Europe Evolution Cup,Russian Federation
222,Alexey MOLCHANOV ,7:33,1,91,0,12/07/2014,Pool mini comps,Russian Federation
223,Dimitris CHATZIASLAN ,7:33,314,91,0,3/09/2008,AIDA Team World Championships 2008,Greece
224,Eric VAN RIET PAAP ,7:33,406,91,0,25/10/2008,RMC 2008,Netherlands
225,Ulf DEXTEGEN ,7:33,441,91,0,21/08/2009,5th AIDA Individual Pool World Championship 2009,Sweden
226,BenoÃ®t CONEM ,7:33,120,91,0,25/03/2012,Open freediving Namur Belgium,France
227,BÃƒÂ©atrice DEL NEGRO ,7:32,332,90.4,0,27/06/2016,Pool World Championships 2016,France
228,JÃ©rÃ´me CHAPELLE ,7:32,210,90.4,0,27/06/2016,Pool World Championships 2016,France
229,Alexey Molchanov ,7:32,270,90.4,0,16/09/2016,Team World Championship,Russian Federation
230,Eric VAN RIET PAAP ,7:32,210,90,0,18/11/2012,Open freediving LiÃƒÂ¨ge Belgium,Netherlands
231,Valdemar Karlsson ,7:32,3,90,0,19/06/2015,Individual AIDA Pool World Championships - Belgrade 2015,Sweden
232,Natalia MOLCHANOVA ,7:31,0,90,0,6/07/2010,7th AIDA Team World Championship 2010,Russian Federation
233,Mikko PÃ–NTINEN ,7:31,60,90,0,23/11/2008,4th DUTCH APNEA OPEN,Finland
234,Giorgos PANAGIOTAKIS ,7:31,210,90,0,10/05/2009,AIDA Hellas Spring Apnea Games 2009,Greece
235,Michael NAEF ,7:31,240,90,0,21/02/2009,11th Berlin Master Cup 2009,Switzerland
236,Natalia MOLCHANOVA ,7:30,360,90,0,22/04/2006,Russian Freediving Championship,Russian Federation
237,Bill GRAHAM ,7:30,450,90,0,2/08/2013,Freedive Paradise in 3D,United States
238,Veljano ZANKI ,7:30,293,90,0,9/09/2012,World Championship 2012,Croatia
239,Giorgos PANAGIOTAKIS ,7:30,419,90,0,21/08/2009,5th AIDA Individual Pool World Championship 2009,Greece
240,Stig Ã…vall SEVERINSEN ,7:29,0,90,0,4/10/2008,Europe Evolution Cup,Denmark
241,Timo KINNUNEN ,7:29,480,84,6,29/05/2003,Sony Freediver Open Classic 2003,Finland
242,Jesper STECHMANN ,7:29,380,90,0,19/09/2014,AIDA Team World Championships 2014,Denmark
243,Ulf DEXTEGEN ,7:29,1,90,0,15/12/2010,Uppsala Mini Competition,Sweden
244,William TRUBRIDGE ,7:29,0,90,0,6/07/2010,7th AIDA Team World Championship 2010,New Zealand
245,Giorgos PANAGIOTAKIS ,7:29,271,90,0,6/04/2008,AIDA Hellas Spring Apnea Games 2008,Greece
246,Alexandr BUBENCHIKOV ,7:29,61,90,0,24/11/2012,Ukrainian Cup 2012,Ukraine
247,Timo KINNUNEN ,7:28,1,90,0,3/09/2008,AIDA Team World Championships 2008,Finland
248,Deron VERBECK ,7:28,330,90,0,2/04/2007,The April Fools Day No-Fins Invitational,United States
249,Tom SIETAS ,7:28,420,90,0,6/05/2004,4Ã¨me Manche Coupe d AIDA France 2004,Germany
250,Robert CETLER ,7:28,180,90,0,18/02/2010,12th Berlin Masters Cup 2010,Poland
251,Peter BOIVIE ,7:28,400,90,0,14/08/2007,Nordic Deep with Six Competitions in One,Sweden
252,Ulf DEXTEGEN ,7:28,441,90,0,7/10/2011,World Championship AIDA 2011 Indoor Event,Sweden
253,JÃ©rÃ´me CHAPELLE ,7:28,240,90,0,12/04/2015,12ÃƒÂ¨me Indoor de La Ciotat - 4ÃƒÂ¨me manche Coupe AIDA France,France
254,Samo JERANKO ,7:28,390,90,0,21/06/2013,Individual AIDA pool World Championships,Slovenia
255,Stig Ã…vall SEVERINSEN ,7:27,1,89,0,9/06/2006,Aarhus Triple Challenge I,Denmark
256,Wolfram NEUGEBAUER ,7:27,5,89,0,15/11/2008,11th German Night of Apnea 2008,Germany
257,Giorgos PANAGIOTAKIS ,7:27,374,89,0,21/06/2013,Individual AIDA pool World Championships,Greece
258,Olivier AZZOPARDI ,7:27,420,89,0,19/06/2015,Individual AIDA Pool World Championships - Belgrade 2015,France
259,Regis SCARONE ,7:27,360,89,0,21/02/2015,Coupe du ChÃƒÂ¢teau,France
260,Goran COLAK ,7:26,395,89,0,8/03/2009,Mad Cup 2009,Croatia
261,Goran COLAK ,7:26,255,89,0,9/09/2012,World Championship 2012,Croatia
262,Roman POPOV ,7:26,300,89,0,28/03/2015,Russian Championship,Russian Federation
263,Andrej ROPRET ,7:25,63,89,0,6/02/2016,Riga Freediving Cup 2016,Slovenia
264,Gaspare BATTAGLIA ,7:25,307,89,0,19/09/2014,AIDA Team World Championships 2014,Italy
265,Ryuzo SHINOMIYA ,7:25,390,89,0,9/09/2006,AIDA Hellas 2006 Summer Apnea Games,Japan
